Ticker,Trg
NDX1.DE,XETRA (Nemčija)
NOEJ.DE,XETRA (Nemčija)
NVM.DE,XETRA (Nemčija)
OHB.DE,XETRA (Nemčija)
OBCK.DE,XETRA (Nemčija)
O4B.DE,XETRA (Nemčija)
PGN.DE,XETRA (Nemčija)
PAT.DE,XETRA (Nemčija)
PTP�.DE,XETRA (Nemčija)
PNE3.DE,XETRA (Nemčija)
P911.DE,XETRA (Nemčija)
PCZ.DE,XETRA (Nemčija)
PSM.DE,XETRA (Nemčija)
PSAN.DE,XETRA (Nemčija)
PUM.DE,XETRA (Nemčija)
TPE.DE,XETRA (Nemčija)
PWO.DE,XETRA (Nemčija)
QSC.DE,XETRA (Nemčija)
QIA.DE,XETRA (Nemčija)
RSL2.DE,XETRA (Nemčija)
RAA.DE,XETRA (Nemčija)
RDC.DE,XETRA (Nemčija)
R3NK.DE,XETRA (Nemčija)
RHM.DE,XETRA (Nemčija)
RHK.DE,XETRA (Nemčija)
RRTL.DE,XETRA (Nemčija)
RWE.DE,XETRA (Nemčija)
SFQ.DE,XETRA (Nemčija)
SZG.DE,XETRA (Nemčija)
SAP.DE,XETRA (Nemčija)
SRT.DE,XETRA (Nemčija)
SRT3.DE,XETRA (Nemčija)
SHA.DE,XETRA (Nemčija)
1SXP.DE,XETRA (Nemčija)
G24.DE,XETRA (Nemčija)
YSN.DE,XETRA (Nemčija)
SJJ.DE,XETRA (Nemčija)
F3C.DE,XETRA (Nemčija)
SGL.DE,XETRA (Nemčija)
SLYG�.DE,XETRA (Nemčija)
SIE.DE,XETRA (Nemčija)
ENR.DE,XETRA (Nemčija)
SHL.DE,XETRA (Nemčija)
WAF.DE,XETRA (Nemčija)
SIX2.DE,XETRA (Nemčija)
SIX3.DE,XETRA (Nemčija)
S92.DE,XETRA (Nemčija)
S188.DE,XETRA (Nemčija)
SHF.DE,XETRA (Nemčija)
SYT.DE,XETRA (Nemčija)
SPG.DE,XETRA (Nemčija)
STM.DE,XETRA (Nemčija)
SBS.DE,XETRA (Nemčija)
SAX.DE,XETRA (Nemčija)
SZU.DE,XETRA (Nemčija)
SUR.DE,XETRA (Nemčija)
SMHN.DE,XETRA (Nemčija)
SY1.DE,XETRA (Nemčija)
SYZ.DE,XETRA (Nemčija)
TEG.DE,XETRA (Nemčija)
TTK.DE,XETRA (Nemčija)
TLX.DE,XETRA (Nemčija)
TMV.DE,XETRA (Nemčija)
TTR1.DE,XETRA (Nemčija)
TKA.DE,XETRA (Nemčija)
NCH2�.DE,XETRA (Nemčija)
TKMS.DE,XETRA (Nemčija)
TNIE.DE,XETRA (Nemčija)
